"","acceptedScientificName","acceptedTaxonKey","adm1","adm2","basisOfRecord","catalogNumber","class","classKey","cloc","collectionCode","collectionKey","continent","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","dateIdentified","day","depth","dynamicProperties","endDayOfYear","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNumber","footprintSRS","footprintWKT","fullCountry","gbifID","gbifRegion","genericName","genus","genusKey","geodeticDatum","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/captive_cultivated","http://unknown.org/georeferenceRemarks","http://unknown.org/language","http://unknown.org/license","http://unknown.org/nick","http://unknown.org/rightsHolder","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","installationKey","institutionCode","institutionID","institutionKey","isInCluster","islandGroup","ISO2","isSequenced","iucnRedListCategory","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","lifeStage","locality","locationID","locationRemarks","lon","modified","month","nameAccordingTo","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismQuantity","organismQuantityType","organismRemarks","originalNameUsage","otherCatalogNumbers","ownerInstitutionCode","parentEventID","phylum","phylumKey","preparations","previousIdentifications","projectId","protocol","publishedByGbifRegion","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rightsHolder","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","type","typeStatus","verbatimDepth","verbatimEventDate","verbatimIdentification","verbatimLocality","vernacularName","vitality","waterBody","year","downloadDate"
"1","Chthamalus montagui Southward, 1976",2115617,"England",NA,"HUMAN_OBSERVATION","261720485","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,"EUROPE",7,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-02-15T13:01:33",15,NA,NA,46,"2025-02-15T13:00:54Z",NA,NA,"13:00:54+00:00","Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5070074400","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,"aliceyypoo",NA,"592590268",NA,NA,NA,"aliceyypoo","261720485",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5070074400,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T22:47:33.077+00:00","2025-05-30T22:47:33.077+00:00",50.14787,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.056665,"2025-04-15T19:07:06.000+00:00",2,NA,"https://www.inaturalist.org/observations/261720485",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","aliceyypoo",NA,"https://www.inaturalist.org/observations/261720485","aliceyypoo",NA,"Chthamalus montagui Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",46,NA,"197140",2115617,"ACCEPTED","SPECIES",NA,NA,NA,"2025-02-15 13:00:54",NA,"Falmouth TR11 4NZ, UK",NA,NA,NA,2025,2025-06-03
"2","Chthamalus montagui Southward, 1976",2115617,"England",NA,"HUMAN_OBSERVATION","261757468","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,"EUROPE",NA,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-02-15T19:44:53",15,NA,NA,46,"2025-02-15T14:44:40Z",NA,NA,"14:44:40+00:00","Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5069930507","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,"bellaallan",NA,"592690904",NA,NA,NA,"Bella","261757468",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5069930507,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:37:33.006+00:00","2025-05-30T23:37:33.006+00:00",50.356961,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-4.126014,"2025-04-15T21:06:57.000+00:00",2,NA,"https://www.inaturalist.org/observations/261757468",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Bella",NA,"https://www.inaturalist.org/observations/261757468","Bella",NA,"Chthamalus montagui Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",46,NA,"197140",2115617,"ACCEPTED","SPECIES",NA,NA,NA,"2025-02-15 14:44:40",NA,"Mount Batten Water Sports Centre, Mount Batten, Plymouth PL9 9XH, UK",NA,NA,NA,2025,2025-06-03
"3","Chthamalus montagui Southward, 1976",2115617,"England",NA,"HUMAN_OBSERVATION","265036324","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,"EUROPE",504,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-03-12T12:31:00",12,NA,NA,71,"2025-03-12T11:13:41Z",NA,NA,"11:13:41+00:00","Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5087957920","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,"mark_a5",NA,"600730002",NA,NA,NA,"Zak Russell","265036324",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5087957920,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T22:59:35.879+00:00","2025-05-30T22:59:35.879+00:00",50.357487,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-4.125193,"2025-03-17T17:20:48.000+00:00",3,NA,"https://www.inaturalist.org/observations/265036324",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","mark_a5",NA,"https://www.inaturalist.org/observations/265036324","mark_a5",NA,"Chthamalus montagui Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",71,NA,"197140",2115617,"ACCEPTED","SPECIES",NA,NA,NA,"2025-03-12 11:13:41",NA,"Mount Batten, Plymouth PL9, UK",NA,NA,NA,2025,2025-06-03
"4","Chthamalus montagui Southward, 1976",2115617,"England",NA,"HUMAN_OBSERVATION","265390504","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,"EUROPE",3,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-03-15T11:57:38",15,NA,NA,74,"2025-03-15T11:57:07Z",NA,NA,"11:57:07+00:00","Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5087987075","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,"chapmanbeth",NA,"601625200",NA,NA,NA,"chapmanbeth","265390504",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5087987075,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:11:02.747+00:00","2025-05-30T23:11:02.747+00:00",50.14746,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.057869,"2025-04-12T15:28:19.000+00:00",3,NA,"https://www.inaturalist.org/observations/265390504",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","chapmanbeth",NA,"https://www.inaturalist.org/observations/265390504","chapmanbeth",NA,"Chthamalus montagui Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",74,NA,"197140",2115617,"ACCEPTED","SPECIES",NA,NA,NA,"2025-03-15 11:57:07Z",NA,"Cliff Road, Falmouth, England, GB",NA,NA,NA,2025,2025-06-03
"5","Chthamalus montagui Southward, 1976",2115617,"England",NA,"HUMAN_OBSERVATION","265393325","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,"EUROPE",32,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-03-15T21:33:56",15,NA,NA,74,"2025-03-15T12:26:11Z",NA,NA,"12:26:11+00:00","Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5088068981","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,"kw24",NA,"601779148",NA,NA,NA,"Ben Holt","265393325",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5088068981,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:58:23.287+00:00","2025-05-30T23:58:23.287+00:00",50.148239,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.056822,"2025-03-15T22:17:06.000+00:00",3,NA,"https://www.inaturalist.org/observations/265393325",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","KW",NA,"https://www.inaturalist.org/observations/265393325","KW",NA,"Chthamalus montagui Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",74,NA,"197140",2115617,"ACCEPTED","SPECIES",NA,NA,NA,"2025-03-15 12:26:11Z",NA,"Cliff Road, Falmouth, England, GB",NA,NA,NA,2025,2025-06-03
"6","Chthamalus montagui Southward, 1976",2115617,"England",NA,"HUMAN_OBSERVATION","265427905","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,"EUROPE",NA,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-03-18T16:01:38",15,NA,NA,74,"2025-03-15T13:26:35Z",NA,NA,"13:26:35+00:00","Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5088013257","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,"oftd",NA,"602724130",NA,NA,NA,"Zak Russell","265427905",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5088013257,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:23:54.728+00:00","2025-05-31T00:23:54.728+00:00",50.356458,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,NA,NA,-4.127133,"2025-03-19T12:56:32.000+00:00",3,NA,"https://www.inaturalist.org/observations/265427905",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Gavin Jones",NA,"https://www.inaturalist.org/observations/265427905","Gavin Jones",NA,"Chthamalus montagui Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",74,NA,"197140",2115617,"ACCEPTED","SPECIES",NA,NA,NA,"2025-03-15 13:26:35",NA,"Mount Batten Water Sports Centre, Mount Batten, Plymouth PL9 9XH, UK",NA,NA,NA,2025,2025-06-03
"7","Chthamalus montagui Southward, 1976",2115617,"England",NA,"HUMAN_OBSERVATION","265447178","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,"EUROPE",5,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-03-15T23:38:33",15,NA,NA,74,"2025-03-15T13:30:03Z",NA,NA,"13:30:03+00:00","Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5088054319","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,"pixnaturalist",NA,"601811242",NA,NA,NA,"Zak Russell","265447178",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5088054319,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:26:02.367+00:00","2025-05-30T23:26:02.367+00:00",50.35645,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-4.126405,"2025-03-17T17:59:12.000+00:00",3,NA,"https://www.inaturalist.org/observations/265447178",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","pixnaturalist",NA,"https://www.inaturalist.org/observations/265447178","pixnaturalist",NA,"Chthamalus montagui Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",74,NA,"197140",2115617,"ACCEPTED","SPECIES",NA,NA,NA,"2025-03-15 13:30:03Z",NA,"Batten Bay, Plymouth, England, GB",NA,NA,NA,2025,2025-06-03
"8","Chthamalus montagui Southward, 1976",2115617,"England",NA,"HUMAN_OBSERVATION","269947657","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,"EUROPE",8,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-04-12T12:06:37",12,NA,NA,102,"2025-04-12T13:06:14",NA,NA,"13:06:14+01:00","Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5133279560","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,"adrian45461",NA,"611860466",NA,NA,NA,"Adrian Seymour","269947657",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5133279560,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:46:28.291+00:00","2025-05-31T00:46:28.291+00:00",50.146737,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.05866,"2025-04-12T18:59:25.000+00:00",4,NA,"https://www.inaturalist.org/observations/269947657",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Adrian Seymour",NA,"https://www.inaturalist.org/observations/269947657","Adrian Seymour",NA,"Chthamalus montagui Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",102,NA,"197140",2115617,"ACCEPTED","SPECIES",NA,NA,NA,"2025-04-12 13:06:14",NA,"Falmouth, UK",NA,NA,NA,2025,2025-06-03
"9","Chthamalus montagui Southward, 1976",2115617,"England",NA,"HUMAN_OBSERVATION","269948473","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,"EUROPE",NA,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-04-15T21:44:02",12,NA,NA,102,"2025-04-12T12:01:28",NA,NA,"12:01:28+01:00","Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5133260523","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,"sarhumphreys",NA,"613414385",NA,NA,NA,"Zak Russell","269948473",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5133260523,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-30T23:01:22.592+00:00","2025-05-30T23:01:22.592+00:00",50.363701,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-4.164098,"2025-04-17T19:07:24.000+00:00",4,NA,"https://www.inaturalist.org/observations/269948473",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","EUROPE","GB","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Sophie",NA,"https://www.inaturalist.org/observations/269948473","Sophie",NA,"Chthamalus montagui Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",102,NA,"197140",2115617,"ACCEPTED","SPECIES",NA,NA,NA,"2025-04-12 12:01:28",NA,"United Kingdom",NA,NA,NA,2025,2025-06-03
"10","Chthamalus montagui Southward, 1976",2115617,"England",NA,"HUMAN_OBSERVATION","281751238","Maxillopoda",203,"United Kingdom, EUROPE","Observations",NA,"EUROPE",16,"United Kingdom",547,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2025-05-17T13:30:41",17,NA,NA,137,"2025-05-17T14:30:09",NA,NA,"14:30:09+01:00","Chthamalidae",5104,NA,NA,NA,"United Kingdom of Great Britain and Northern Ireland","5168008982","EUROPE","Chthamalus","Chthamalus",2115612,"WGS84",NA,NA,NA,NA,NA,NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","wild",NA,NA,NA,"adrian45461",NA,"633441609",NA,NA,NA,"Adrian Seymour","281751238",NA,"997448a8-f762-11e1-a439-00145eb45e9a","iNaturalist",NA,NA,FALSE,NA,"GB",FALSE,"NE",5168008982,"Animalia",1,NA,"2025-05-30T13:42:03.106+00:00","2025-05-31T00:08:19.078+00:00","2025-05-31T00:08:19.078+00:00",50.147372,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,-5.057806,"2025-05-17T17:44:11.000+00:00",5,NA,"https://www.inaturalist.org/observations/281751238",NA,"PRESENT","Sessilia",1426,NA,NA,NA,NA,NA,NA,NA,"Arthropoda",54,NA,NA,NA,"DWC_ARCHIVE","NORTH_AMERICA","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Adrian Seymour",NA,"https://www.inaturalist.org/observations/281751238","Adrian Seymour",NA,"Chthamalus montagui Southward, 1976",NA,NA,"Chthamalus montagui",2115617,"montagui",137,NA,"197140",2115617,"ACCEPTED","SPECIES",NA,NA,NA,"2025-05-17 14:30:09",NA,"Falmouth TR11 4NZ, UK",NA,NA,NA,2025,2025-06-03
